name,max,min,mean,stddev
aeroplane,-7.017326915411428,-3.21996812426681,-3.577016232275378,0.07973382316694817
bicycle,-4.552898417941261,-2.8576710820773115,-3.5663607383802294,0.07415482126094464
bird,-4.395202805202694,-3.0776801973313375,-3.5783322803966047,0.05934932988287956
boat,-5.066024948836487,-3.461219591266192,-3.647805756164176,0.03732596207856162
bottle,-2.8832310419071097,-1.5026670786568628,-2.5597791526067586,0.05021001634104969
bus,-5.102208897857611,-2.405266059981815,-3.359294861397512,0.09015581392775604
car,-3.205033442927308,-1.6033302491172274,-2.1557981543001072,0.04767023825706049
cat,-4.514927788417015,-2.4152117228098313,-3.344960078719128,0.0725471327394097
chair,-2.565991838660978,-0.34802666422679984,-2.1192525155968966,0.06481520033637178
cow,-6.680496127334241,-3.643335272320328,-4.067468805684849,0.06800171652869512
diningtable,-2.680133715553647,-0.598318530206546,-2.1889422265943894,0.06241074585573772
dog,-3.4744510212051316,-2.4887931684772813,-3.265707547590135,0.02020386797536798
horse,-4.808626965363596,-3.436958705236916,-3.662286517585784,0.04316732178772121
motorbike,-4.418652337062727,-2.7959662191240753,-3.496364644511016,0.07304388059483626
person,-0.17294375425562805,0.4186609838242708,0.18332157730621834,0.01860119518312595
pottedplant,-3.6458152813003193,-1.9187591599893623,-3.261746820837152,0.057934174592877974
sheep,-6.834826098959379,-3.77943481136443,-4.299226488539617,0.08035981146177028
sofa,-3.8094191250984126,-1.546254405053989,-3.2337513675909793,0.07994587669738959
train,-5.4497313858789145,-3.3068676945783646,-3.4804742480509048,0.05637520786728247
tvmonitor,-3.689573272222668,-1.4086051457007531,-3.223495934056756,0.06917986843194815
