name,max,min,mean,stddev
aeroplane,-7.23561914106675,-3.207788596281662,-3.581347835623519,0.16165190339398247
bicycle,-5.055335473014162,-2.1673716141865382,-3.5699591539515,0.1100326895542821
bird,-5.164785973923514,-2.45432322641592,-3.5802984011394945,0.1080078663509128
boat,-6.844105251905681,-3.242319785272954,-3.649892025404938,0.09452969551023616
bottle,-4.628597318883231,-1.1433574417258938,-2.5631160639384563,0.09735696595092624
bus,-8.06117135969092,-1.5490287846385402,-3.3683312402383567,0.2072006572969809
car,-4.6176723523568075,-0.44108531222630315,-2.159332393929003,0.10697624430470742
cat,-7.115582126184454,-2.1524666766947256,-3.351342527184299,0.16429290755607842
chair,-4.173934678803956,-0.021451926717951427,-2.12238574290904,0.11791387517487444
cow,-6.680540953297446,-3.6104597224872967,-4.068455529184606,0.1046190748879908
diningtable,-5.7665336852196765,-0.3762191858193311,-2.198429195977841,0.1810587108779451
dog,-6.10389997643777,-2.1290085694781546,-3.2660276479219115,0.054211384121044766
horse,-6.96192775787053,-3.23118076005858,-3.667368127774918,0.14362825124504794
motorbike,-6.96192775787053,-2.0797030137691803,-3.500945146150433,0.12906449316918428
person,-1.5460569702017188,1.560395827366498,0.18399886916620792,0.06653094489978682
pottedplant,-6.10389997643777,-1.3167682984712803,-3.266257367283313,0.11367869700465603
sheep,-7.715123603632105,-2.9064455827272258,-4.302900389406195,0.15799973969799364
sofa,-7.23561914106675,-0.9204624362445419,-3.2406767943924737,0.18606585470110076
train,-6.96192775787053,-3.2990678865857754,-3.483302116587861,0.12871344406714452
tvmonitor,-6.10389997643777,-0.9112173781004909,-3.2303112162629968,0.15624518623732306
