name,max,min,mean,stddev
aeroplane,3.219968124266809,7.017326915411415,3.577016232275378,0.07973382316694802
bicycle,2.8576710820773115,4.552898417941261,3.5663607383802294,0.07415482126094469
bird,3.077680197331337,4.395202805202693,3.5783322803966047,0.059349329882879547
boat,3.461219591266192,5.066024948836492,3.647805756164176,0.03732596207856167
bottle,1.502667078656863,2.8832310419071097,2.5597791526067586,0.05021001634104972
bus,2.4052660599818156,5.102208897857619,3.359294861397512,0.09015581392775607
car,1.6033302491172279,3.205033442927309,2.1557981543001077,0.047670238257060495
cat,2.4152117228098318,4.514927788417018,3.344960078719128,0.07254713273940973
chair,0.34802666422679984,2.5659918386609775,2.1192525155968966,0.06481520033637178
cow,3.6433352723203285,6.680496127334209,4.067468805684849,0.06800171652869481
diningtable,0.5983185302065457,2.680133715553647,2.1889422265943894,0.062410745855737734
dog,2.4887931684772813,3.474451021205134,3.265707547590135,0.020203867975367957
horse,3.436958705236916,4.808626965363596,3.662286517585784,0.04316732178772129
motorbike,2.795966219124075,4.418652337062726,3.496364644511016,0.07304388059483623
person,-0.4186609838242708,0.17294375425562802,-0.18332157730621834,0.01860119518312595
pottedplant,1.9187591599893625,3.64581528130032,3.261746820837152,0.05793417459287793
sheep,3.779434811364428,6.834826098959407,4.299226488539618,0.08035981146177065
sofa,1.5462544050539886,3.809419125098411,3.2337513675909797,0.07994587669738962
train,3.306867694578364,5.449731385878915,3.4804742480509048,0.056375207867282576
tvmonitor,1.4086051457007531,3.6895732722226686,3.2234959340567566,0.06917986843194816
